,_id,index,name,equipment_category,gear_category,cost,weight,url,desc,tool_category,vehicle_category,quantity,weapon_category,weapon_range,category_range,damage,range,properties,2h_damage,armor_category,armor_class,str_minimum,stealth_disadvantage,contents,speed,capacity,throw_range,special
10,5f2329a90b1bb138c5940df2,ball-bearings-bag-of-1000,"Ball bearings (bag of 1,000)","{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Standard Gear,"{'quantity': 1, 'unit': 'gp'}",2.0,/api/equipment/ball-bearings-bag-of-1000,"['As an action, you can spill these tiny metal balls from their pouch to cover a level, square area that is 10 feet on a side.', 'A creature moving across the covered area must succeed on a DC 10 Dexterity saving throw or fall prone.', ""A creature moving through the area at half speed doesn't need to make the save.""]",,,,,,,,,,,,,,,,,,,
11,5f2329a90b1bb138c5940e7e,barding-breastplate,Barding: Breastplate,"{'name': 'Mounts and Vehicles', 'url': '/api/equipment-categories/mounts-and-vehicles'}",,"{'quantity': 1600, 'unit': 'gp'}",40.0,/api/equipment/barding-breastplate,"[""Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.""]",,"Tack, Harness, and Drawn Vehicles",,,,,,,,,,,,,,,,,
12,5f2329a90b1bb138c5940e81,barding-chain-mail,Barding: Chain mail,"{'name': 'Mounts and Vehicles', 'url': '/api/equipment-categories/mounts-and-vehicles'}",,"{'quantity': 300, 'unit': 'gp'}",110.0,/api/equipment/barding-chain-mail,"[""Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.""]",,"Tack, Harness, and Drawn Vehicles",,,,,,,,,,,,,,,,,
13,5f2329a90b1bb138c5940e7c,barding-chain-shirt,Barding: Chain shirt,"{'name': 'Mounts and Vehicles', 'url': '/api/equipment-categories/mounts-and-vehicles'}",,"{'quantity': 200, 'unit': 'gp'}",40.0,/api/equipment/barding-chain-shirt,"[""Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.""]",,"Tack, Harness, and Drawn Vehicles",,,,,,,,,,,,,,,,,
14,5f2329a90b1bb138c5940e7f,barding-half-plate,Barding: Half plate,"{'name': 'Mounts and Vehicles', 'url': '/api/equipment-categories/mounts-and-vehicles'}",,"{'quantity': 3000, 'unit': 'gp'}",80.0,/api/equipment/barding-half-plate,"[""Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.""]",,"Tack, Harness, and Drawn Vehicles",,,,,,,,,,,,,,,,,
15,5f2329a90b1bb138c5940e7b,barding-hide,Barding: Hide,"{'name': 'Mounts and Vehicles', 'url': '/api/equipment-categories/mounts-and-vehicles'}",,"{'quantity': 40, 'unit': 'gp'}",24.0,/api/equipment/barding-hide,"[""Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.""]",,"Tack, Harness, and Drawn Vehicles",,,,,,,,,,,,,,,,,
16,5f2329a90b1bb138c5940e78,barding-leather,Barding: Leather,"{'name': 'Mounts and Vehicles', 'url': '/api/equipment-categories/mounts-and-vehicles'}",,"{'quantity': 40, 'unit': 'gp'}",20.0,/api/equipment/barding-leather,"[""Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.""]",,"Tack, Harness, and Drawn Vehicles",,,,,,,,,,,,,,,,,
17,5f2329a90b1bb138c5940e79,barding-padded,Barding: Padded,"{'name': 'Mounts and Vehicles', 'url': '/api/equipment-categories/mounts-and-vehicles'}",,"{'quantity': 20, 'unit': 'gp'}",16.0,/api/equipment/barding-padded,"[""Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.""]",,"Tack, Harness, and Drawn Vehicles",,,,,,,,,,,,,,,,,
18,5f2329a90b1bb138c5940e83,barding-plate,Barding: Plate,"{'name': 'Mounts and Vehicles', 'url': '/api/equipment-categories/mounts-and-vehicles'}",,"{'quantity': 6000, 'unit': 'gp'}",130.0,/api/equipment/barding-plate,"[""Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.""]",,"Tack, Harness, and Drawn Vehicles",,,,,,,,,,,,,,,,,
19,5f2329a90b1bb138c5940e80,barding-ring-mail,Barding: Ring mail,"{'name': 'Mounts and Vehicles', 'url': '/api/equipment-categories/mounts-and-vehicles'}",,"{'quantity': 12, 'unit': 'gp'}",80.0,/api/equipment/barding-ring-mail,"[""Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.""]",,"Tack, Harness, and Drawn Vehicles",,,,,,,,,,,,,,,,,
20,5f2329a90b1bb138c5940e7d,barding-scale-mail,Barding: Scale mail,"{'name': 'Mounts and Vehicles', 'url': '/api/equipment-categories/mounts-and-vehicles'}",,"{'quantity': 200, 'unit': 'gp'}",90.0,/api/equipment/barding-scale-mail,"[""Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.""]",,"Tack, Harness, and Drawn Vehicles",,,,,,,,,,,,,,,,,
21,5f2329a90b1bb138c5940e82,barding-splint,Barding: Splint,"{'name': 'Mounts and Vehicles', 'url': '/api/equipment-categories/mounts-and-vehicles'}",,"{'quantity': 800, 'unit': 'gp'}",120.0,/api/equipment/barding-splint,"[""Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.""]",,"Tack, Harness, and Drawn Vehicles",,,,,,,,,,,,,,,,,
22,5f2329a90b1bb138c5940e7a,barding-studded-leather,Barding: Studded Leather,"{'name': 'Mounts and Vehicles', 'url': '/api/equipment-categories/mounts-and-vehicles'}",,"{'quantity': 180, 'unit': 'gp'}",26.0,/api/equipment/barding-studded-leather,"[""Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.""]",,"Tack, Harness, and Drawn Vehicles",,,,,,,,,,,,,,,,,
23,5f2329a90b1bb138c5940df1,barrel,Barrel,"{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Standard Gear,"{'quantity': 2, 'unit': 'gp'}",70.0,/api/equipment/barrel,,,,,,,,,,,,,,,,,,,,
24,5f2329a90b1bb138c5940df4,basket,Basket,"{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Standard Gear,"{'quantity': 4, 'unit': 'sp'}",2.0,/api/equipment/basket,,,,,,,,,,,,,,,,,,,,
25,5f2329a90b1bb138c5940dbe,battleaxe,Battleaxe,"{'name': 'Weapon', 'url': '/api/equipment-categories/weapon'}",,"{'quantity': 10, 'unit': 'gp'}",4.0,/api/equipment/battleaxe,,,,,Martial,Melee,Martial Melee,"{'damage_dice': '1d8', 'damage_type': {'url': '/api/damage-types/slashing', 'name': 'Slashing'}}","{'normal': 5, 'long': None}","[{'url': '/api/weapon-properties/versatile', 'name': 'Versatile'}]","{'damage_dice': '1d10', 'damage_type': {'url': '/api/damage-types/slashing', 'name': 'Slashing'}}",,,,,,,,,
26,5f2329a90b1bb138c5940df3,bedroll,Bedroll,"{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Standard Gear,"{'quantity': 1, 'unit': 'gp'}",7.0,/api/equipment/bedroll,,,,,,,,,,,,,,,,,,,,
27,5f2329a90b1bb138c5940df5,bell,Bell,"{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Standard Gear,"{'quantity': 1, 'unit': 'gp'}",0.0,/api/equipment/bell,,,,,,,,,,,,,,,,,,,,
28,5f2329a90b1bb138c5940e84,bit-and-bridle,Bit and bridle,"{'name': 'Mounts and Vehicles', 'url': '/api/equipment-categories/mounts-and-vehicles'}",,"{'quantity': 2, 'unit': 'gp'}",1.0,/api/equipment/bit-and-bridle,,,"Tack, Harness, and Drawn Vehicles",,,,,,,,,,,,,,,,,
29,5f2329a90b1bb138c5940df6,blanket,Blanket,"{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Standard Gear,"{'quantity': 5, 'unit': 'sp'}",3.0,/api/equipment/blanket,,,,,,,,,,,,,,,,,,,,
30,5f2329a90b1bb138c5940df7,block-and-tackle,Block and tackle,"{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Standard Gear,"{'quantity': 1, 'unit': 'gp'}",5.0,/api/equipment/block-and-tackle,"['A set of pulleys with a cable threaded through them and a hook to attach to objects, a block and tackle allows you to hoist up to four times the weight you can normally lift.']",,,,,,,,,,,,,,,,,,,
31,5f2329a90b1bb138c5940dd0,blowgun,Blowgun,"{'name': 'Weapon', 'url': '/api/equipment-categories/weapon'}",,"{'quantity': 10, 'unit': 'gp'}",1.0,/api/equipment/blowgun,,,,,Martial,Ranged,Martial Ranged,"{'damage_dice': '1d1', 'damage_type': {'url': '/api/damage-types/piercing', 'name': 'Piercing'}}","{'normal': 25, 'long': 100}","[{'name': 'Ammunition', 'url': '/api/weapon-properties/ammunition'}, {'name': 'Loading', 'url': '/api/weapon-properties/loading'}]",,,,,,,,,,
32,5f2329a90b1bb138c5940de6,blowgun-needle,Blowgun needle,"{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Ammunition,"{'quantity': 1, 'unit': 'gp'}",1.0,/api/equipment/blowgun-needle,,,,50.0,,,,,,,,,,,,,,,,
33,5f2329a90b1bb138c5940df8,book,Book,"{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Standard Gear,"{'quantity': 25, 'unit': 'gp'}",5.0,/api/equipment/book,"['A book might contain poetry, historical accounts, information pertaining to a particular field of lore, diagrams and notes on gnomish contraptions, or just about anything else that can be represented using text or pictures. A book of spells is a spellbook (described later in this section).']",,,,,,,,,,,,,,,,,,,
34,5f2329a90b1bb138c5940dfa,bottle-glass,"Bottle, glass","{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Standard Gear,"{'quantity': 2, 'unit': 'gp'}",2.0,/api/equipment/bottle-glass,,,,,,,,,,,,,,,,,,,,
35,5f2329a90b1bb138c5940ddb,breastplate,Breastplate,"{'name': 'Armor', 'url': '/api/equipment-categories/armor'}",,"{'quantity': 400, 'unit': 'gp'}",20.0,/api/equipment/breastplate,,,,,,,,,,,,Medium,"{'base': 14, 'dex_bonus': True, 'max_bonus': 2}",0.0,False,,,,,
36,5f2329a90b1bb138c5940e50,brewers-supplies,Brewer's supplies,"{'name': 'Tools', 'url': '/api/equipment-categories/tools'}",,"{'quantity': 20, 'unit': 'gp'}",9.0,/api/equipment/brewers-supplies,"[""These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.""]",Artisan's Tools,,,,,,,,,,,,,,,,,,
37,5f2329a90b1bb138c5940df9,bucket,Bucket,"{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Standard Gear,"{'quantity': 5, 'unit': 'cp'}",2.0,/api/equipment/bucket,,,,,,,,,,,,,,,,,,,,
38,5f2329a90b1bb138c5940e49,burglars-pack,Burglar's Pack,"{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Equipment Pack,"{'quantity': 16, 'unit': 'gp'}",,/api/equipment/burglars-pack,,,,,,,,,,,,,,,,"[{'item_url': '/api/equipment/backpack', 'quantity': 1}, {'item_url': '/api/equipment/ball-bearings-bag-of-1000', 'quantity': 1}, {'item_url': '/api/equipment/candle', 'quantity': 5}, {'item_url': '/api/equipment/crowbar', 'quantity': 1}, {'item_url': '/api/equipment/hammer', 'quantity': 1}, {'item_url': '/api/equipment/piton', 'quantity': 10}, {'item_url': '/api/equipment/lantern-hooded', 'quantity': 1}, {'item_url': '/api/equipment/oil-flask', 'quantity': 2}, {'item_url': '/api/equipment/rations-1-day', 'quantity': 5}, {'item_url': '/api/equipment/tinderbox', 'quantity': 1}, {'item_url': '/api/equipment/waterskin', 'quantity': 1}, {'item_url': '/api/equipment/rope-hempen-50-feet', 'quantity': 1}]",,,,
39,5f2329a90b1bb138c5940e54,calligraphers-supplies,Calligrapher's supplies,"{'name': 'Tools', 'url': '/api/equipment-categories/tools'}",,"{'quantity': 10, 'unit': 'gp'}",5.0,/api/equipment/calligraphers-supplies,"[""These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.""]",Artisan's Tools,,,,,,,,,,,,,,,,,,
40,5f2329a90b1bb138c5940dfd,caltrops,Caltrops,"{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Standard Gear,"{'quantity': 5, 'unit': 'cp'}",2.0,/api/equipment/caltrops,"['As an action, you can spread a bag of caltrops to cover a square area that is 5 feet on a side.', 'Any creature that enters the area must succeed on a DC 15 Dexterity saving throw or stop moving this turn and take 1 piercing damage.', ""Taking this damage reduces the creature's walking speed by 10 feet until the creature regains at least 1 hit point."", ""A creature moving through the area at half speed doesn't need to make the save.""]",,,,,,,,,,,,,,,,,,,
41,5f2329a90b1bb138c5940e6f,camel,Camel,"{'name': 'Mounts and Vehicles', 'url': '/api/equipment-categories/mounts-and-vehicles'}",,"{'quantity': 50, 'unit': 'gp'}",,/api/equipment/camel,,,Mounts and Other Animals,,,,,,,,,,,,,,"{'quantity': 50, 'unit': 'ft/round'}",480 lb.,,
42,5f2329a90b1bb138c5940dfb,candle,Candle,"{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Standard Gear,"{'quantity': 1, 'unit': 'cp'}",0.0,/api/equipment/candle,"['For 1 hour, a candle sheds bright light in a 5-foot radius and dim light for an additional 5 feet.']",,,,,,,,,,,,,,,,,,,
43,5f2329a90b1bb138c5940e52,carpenters-tools,Carpenter's tools,"{'name': 'Tools', 'url': '/api/equipment-categories/tools'}",,"{'quantity': 8, 'unit': 'gp'}",6.0,/api/equipment/carpenters-tools,"[""These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.""]",Artisan's Tools,,,,,,,,,,,,,,,,,,
44,5f2329a90b1bb138c5940e85,carriage,Carriage,"{'name': 'Mounts and Vehicles', 'url': '/api/equipment-categories/mounts-and-vehicles'}",,"{'quantity': 100, 'unit': 'gp'}",600.0,/api/equipment/carriage,,,"Tack, Harness, and Drawn Vehicles",,,,,,,,,,,,,,,,,
45,5f2329a90b1bb138c5940e86,cart,Cart,"{'name': 'Mounts and Vehicles', 'url': '/api/equipment-categories/mounts-and-vehicles'}",,"{'quantity': 15, 'unit': 'gp'}",200.0,/api/equipment/cart,,,"Tack, Harness, and Drawn Vehicles",,,,,,,,,,,,,,,,,
46,5f2329a90b1bb138c5940e53,cartographers-tools,Cartographer's tools,"{'name': 'Tools', 'url': '/api/equipment-categories/tools'}",,"{'quantity': 15, 'unit': 'gp'}",6.0,/api/equipment/cartographers-tools,"[""These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.""]",Artisan's Tools,,,,,,,,,,,,,,,,,,
47,5f2329a90b1bb138c5940dfc,case-crossbow-bolt,"Case, crossbow bolt","{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Standard Gear,"{'quantity': 1, 'unit': 'gp'}",1.0,/api/equipment/case-crossbow-bolt,['This wooden case can hold up to twenty crossbow bolts.'],,,,,,,,,,,,,,,,,,,
48,5f2329a90b1bb138c5940dfe,case-map-or-scroll,"Case, map or scroll","{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Standard Gear,"{'quantity': 1, 'unit': 'gp'}",1.0,/api/equipment/case-map-or-scroll,['This cylindrical leather case can hold up to ten rolled-up sheets of paper or five rolled-up sheets of parchment.'],,,,,,,,,,,,,,,,,,,
49,5f2329a90b1bb138c5940dff,chain-10-feet,Chain (10 feet),"{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Standard Gear,"{'quantity': 5, 'unit': 'gp'}",10.0,/api/equipment/chain-10-feet,['A chain has 10 hit points. It can be burst with a successful DC 20 Strength check.'],,,,,,,,,,,,,,,,,,,
50,5f2329a90b1bb138c5940dde,chain-mail,Chain Mail,"{'name': 'Armor', 'url': '/api/equipment-categories/armor'}",,"{'quantity': 75, 'unit': 'gp'}",55.0,/api/equipment/chain-mail,,,,,,,,,,,,Heavy,"{'base': 16, 'dex_bonus': False, 'max_bonus': None}",13.0,True,,,,,
51,5f2329a90b1bb138c5940dd8,chain-shirt,Chain Shirt,"{'name': 'Armor', 'url': '/api/equipment-categories/armor'}",,"{'quantity': 50, 'unit': 'gp'}",20.0,/api/equipment/chain-shirt,,,,,,,,,,,,Medium,"{'base': 13, 'dex_bonus': True, 'max_bonus': 2}",0.0,False,,,,,
52,5f2329a90b1bb138c5940e02,chalk-1-piece,Chalk (1 piece),"{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Standard Gear,"{'quantity': 1, 'unit': 'cp'}",0.0,/api/equipment/chalk-1-piece,,,,,,,,,,,,,,,,,,,,
53,5f2329a90b1bb138c5940e87,chariot,Chariot,"{'name': 'Mounts and Vehicles', 'url': '/api/equipment-categories/mounts-and-vehicles'}",,"{'quantity': 250, 'unit': 'gp'}",100.0,/api/equipment/chariot,,,"Tack, Harness, and Drawn Vehicles",,,,,,,,,,,,,,,,,
54,5f2329a90b1bb138c5940e00,chest,Chest,"{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Standard Gear,"{'quantity': 5, 'unit': 'gp'}",25.0,/api/equipment/chest,,,,,,,,,,,,,,,,,,,,
55,5f2329a90b1bb138c5940e18,climbers-kit,Climber's Kit,"{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Kit,"{'quantity': 25, 'unit': 'gp'}",12.0,/api/equipment/climbers-kit,"[""A climber's kit includes special pitons, boot tips, gloves, and a harness. You can use the climber's kit as an action to anchor yourself; when you do, you can't fall more than 25 feet from the point where you anchored yourself, and you can't climb more than 25 feet away from that point without undoing the anchor.""]",,,,,,,,,,,,,,,,,,,
56,5f2329a90b1bb138c5940e01,clothes-common,"Clothes, common","{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Standard Gear,"{'quantity': 5, 'unit': 'sp'}",3.0,/api/equipment/clothes-common,,,,,,,,,,,,,,,,,,,,
57,5f2329a90b1bb138c5940e03,clothes-costume,"Clothes, costume","{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Standard Gear,"{'quantity': 5, 'unit': 'gp'}",4.0,/api/equipment/clothes-costume,,,,,,,,,,,,,,,,,,,,
58,5f2329a90b1bb138c5940e04,clothes-fine,"Clothes, fine","{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Standard Gear,"{'quantity': 15, 'unit': 'gp'}",6.0,/api/equipment/clothes-fine,,,,,,,,,,,,,,,,,,,,
59,5f2329a90b1bb138c5940e05,clothes-travelers,"Clothes, traveler's","{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Standard Gear,"{'quantity': 2, 'unit': 'gp'}",4.0,/api/equipment/clothes-travelers,,,,,,,,,,,,,,,,,,,,
60,5f2329a90b1bb138c5940db2,club,Club,"{'name': 'Weapon', 'url': '/api/equipment-categories/weapon'}",,"{'quantity': 1, 'unit': 'sp'}",2.0,/api/equipment/club,,,,,Simple,Melee,Simple Melee,"{'damage_dice': '1d4', 'damage_type': {'url': '/api/damage-types/bludgeoning', 'name': 'Bludgeoning'}}","{'normal': 5, 'long': None}","[{'url': '/api/weapon-properties/light', 'name': 'Light'}, {'url': '/api/weapon-properties/monk', 'name': 'Monk'}]",,,,,,,,,,
61,5f2329a90b1bb138c5940e55,cobblers-tools,Cobbler's tools,"{'name': 'Tools', 'url': '/api/equipment-categories/tools'}",,"{'quantity': 5, 'unit': 'gp'}",5.0,/api/equipment/cobblers-tools,"[""These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.""]",Artisan's Tools,,,,,,,,,,,,,,,,,,
62,5f2329a90b1bb138c5940e0a,component-pouch,Component pouch,"{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Standard Gear,"{'quantity': 25, 'unit': 'gp'}",2.0,/api/equipment/component-pouch,"["" A component pouch is a small, watertight leather belt pouch that has compartments to hold all the material components and other special items you need to cast your spells, except for those components that have a specific cost (as indicated in a spell's description).""]",,,,,,,,,,,,,,,,,,,
63,5f2329a90b1bb138c5940e56,cooks-utensils,Cook's utensils,"{'name': 'Tools', 'url': '/api/equipment-categories/tools'}",,"{'quantity': 1, 'unit': 'gp'}",8.0,/api/equipment/cooks-utensils,"[""These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.""]",Artisan's Tools,,,,,,,,,,,,,,,,,,
64,5f2329a90b1bb138c5940de8,crossbow-bolt,Crossbow bolt,"{'name': 'Adventuring Gear', 'url': '/api/equipment-categories/adventuring-gear'}",Ammunition,"{'quantity': 1, 'unit': 'gp'}",1.5,/api/equipment/crossbow-bolt,,,,20.0,,,,,,,,,,,,,,,,
65,5f2329a90b1bb138c5940dd1,crossbow-hand,"Crossbow, hand","{'name': 'Weapon', 'url': '/api/equipment-categories/weapon'}",,"{'quantity': 75, 'unit': 'gp'}",3.0,/api/equipment/crossbow-hand,,,,,Martial,Ranged,Martial Ranged,"{'damage_dice': '1d6', 'damage_type': {'url': '/api/damage-types/piercing', 'name': 'Piercing'}}","{'normal': 30, 'long': 120}","[{'name': 'Ammunition', 'url': '/api/weapon-properties/ammunition'}, {'url': '/api/weapon-properties/light', 'name': 'Light'}, {'name': 'Loading', 'url': '/api/weapon-properties/loading'}]",,,,,,,,,,
